,NUM_BO,DELEGACIA,RUBRICA,MES,LATITUDE,LONGITUDE
687288,348,DEL.POL.EMBU DAS ARTES        ,Roubo,2,-23.64909429,-46.85260093
448723,230536,DELEGACIA ELETRONICA          ,Furto,2,-23.59397907,-46.52650281
238670,1015,03º D.P. S.BERNARDO DO CAMPO  ,Roubo,2,-23.72441459,-46.575539899999995
330084,310886,DELEGACIA ELETRONICA          ,Furto,2,-23.51208977,-46.37570048
338944,864,99º D.P.  CAMPO GRANDE        ,Furto,2,-23.67542848,-46.69967312
141769,1990,10º D.P. PENHA DE FRANCA      ,Roubo,2,-23.52211661,-46.53996196
352859,915,DEL.SEC.JUNDIAI PLANTÃO       ,Roubo,2,-23.544853,-46.35251956
461468,495,DEL.SEC.JACAREI PLANTÃO       ,Roubo,2,-23.29291947,-46.57341327
260556,242313,DELEGACIA ELETRONICA          ,Furto,2,-23.65026369,-46.73617715
540094,252215,DELEGACIA ELETRONICA          ,Roubo,2,-23.5966859,-46.48913972
222159,247482,DELEGACIA ELETRONICA          ,Furto,2,-23.51583629,-46.294745500000005
170317,192024,DELEGACIA ELETRONICA          ,Furto,2,-23.54660545,-46.62316617
682481,1107,54º D.P.  CID. TIRADENTES     ,Furto,2,-23.58590577,-46.39601183
554684,144631,DELEGACIA ELETRONICA          ,Furto,2,-23.58574765,-46.65329183
720429,211113,DELEGACIA ELETRONICA          ,Furto,2,-23.45307982,-46.51763138
535594,175454,DELEGACIA ELETRONICA          ,Roubo,2,-23.66752071,-46.43847915
18186,7017,DEL.POL.PLANTÃO ATIBAIA       ,Furto,2,-23.68072908,-46.76946135
381115,745,87º D.P. V. P. BARRETO        ,Roubo,2,-23.496725199999997,-46.70756593
422130,1485,63º D.P. VILA JACUI           ,Lesão envolvendo veículos,2,-23.49768419,-46.43653021
411621,256506,DELEGACIA ELETRONICA          ,Furto,2,-23.68404527,-46.55529132
462780,269671,DELEGACIA ELETRONICA          ,Furto,2,-23.60266876,-46.615564899999995
732733,458,DEL.POL.JANDIRA               ,Roubo,2,-23.53572482,-46.90456335
432457,1741,101º D.P. JDIM IMBUIAS        ,Roubo,2,-23.72343912,-46.67946108
701663,261855,DELEGACIA ELETRONICA          ,Roubo,2,-23.58899464,-46.74184192
255437,238886,DELEGACIA ELETRONICA          ,Furto,2,-23.6631975,-46.66672336
96467,235228,DELEGACIA ELETRONICA          ,Roubo,2,-23.65699497,-46.77622493
169746,161780,DELEGACIA ELETRONICA          ,Roubo,2,-23.65985032,-46.74305561
2250,744,37º D.P.  CAMPO LIMPO         ,Roubo,2,-23.62379153,-46.75260508
619735,252,08º D.P. OSASCO               ,Lesão corporal,2,-23.5639969,-46.80622515
307993,1129,93º D.P. JAGUARÉ              ,Homicídio envolvendo veículos,2,-23.55740519,-46.74585727
436507,167164,DELEGACIA ELETRONICA          ,Roubo,2,-23.50842948,-46.42317063
379998,679,39º D.P.  VILA GUSTAVO        ,Roubo,2,-23.47525596,-46.57985739
197182,899,89º D.P. JARDIM TABOAO        ,Roubo,2,-23.59678364,-46.74065165
474106,1233,10º D.P. PENHA DE FRANCA      ,Roubo,2,-23.53598278,-46.57697478
161902,214087,DELEGACIA ELETRONICA          ,Furto,2,-23.46451096,-46.55385232
669249,203501,DELEGACIA ELETRONICA          ,Roubo,2,-23.44859714,-46.42924978
209094,853,01º D.P. SANTO ANDRÉ          ,Roubo,2,-23.67113557,-46.538436499999996
221914,226462,DELEGACIA ELETRONICA          ,Furto,2,-23.74520838,-46.70788246
333997,1152,01º D.P. S.B.C-DR OMAR CASSIM ,Furto,2,-23.6906208,-46.55466526
241439,643,99º D.P.  CAMPO GRANDE        ,Roubo,2,-23.67562689,-46.68432641
237370,900067,27º D.P.  IBIRAPUERA          ,Lesão corporal,2,-23.68077602,-46.74799746
246028,144001,DELEGACIA ELETRONICA          ,Furto,2,-23.66651394,-46.46029673
238365,1976,14º D.P. PINHEIROS            ,Furto,2,-23.56290198,-46.68642176
233717,1873,73º D.P. JACANA               ,Furto,2,-23.49071491,-46.58015865
13409,198995,DELEGACIA ELETRONICA          ,Furto,2,-23.57232221,-46.68981575
588317,143333,DELEGACIA ELETRONICA          ,Furto,2,-23.57049449,-46.65029682
723921,163467,DELEGACIA ELETRONICA          ,Furto,2,-23.64894056,-46.75950783
422059,596,64º D.P. CID.AE CARVALHO      ,Furto,2,-23.5272115,-46.47704129
658992,368,05º D.P. SANTO ANDRÉ          ,Roubo,2,-23.62413658,-46.51165905
353577,900005,59º D.P. JARDIM DOS IPES      ,Lesão corporal,2,-23.50250166,-46.41518907
352293,649,04º D.P. DIADEMA              ,Roubo,2,-23.70326524,-46.61566692
325522,1001,72º D.P. VILA PENTEADO        ,Roubo,2,-23.50865124,-46.82897029
15053,1838,01º D.P. CARAPICUIBA          ,Lesão corporal,2,-23.54121282,-46.86090426
592893,238,83º D.P. PARQUE BRISTOL       ,Furto,2,-23.63170945,-46.60455888
353521,225,08º D.P. GUARULHOS            ,Roubo,2,-23.46791684,-46.41514834
687415,773,05º D.P. OSASCO               ,Furto,2,-23.53083738,-46.77680395
58496,736,02º D.P. GUARULHOS            ,Roubo,2,-23.44412874,-46.55401413
55297,1692,49º D.P.  SAO MATEUS          ,Furto,2,-23.58770839,-46.49009844
14516,195518,DELEGACIA ELETRONICA          ,Furto,2,-23.55488286,-46.61114491
25073,488,46º D.P.  PERUS               ,Roubo,2,-23.44720085,-46.72242876
729528,409,30º D.P.  TATUAPE             ,Lesão envolvendo veículos,2,-23.53824547,-46.58204286
270880,183,02º D.P. MAUA                 ,Roubo,2,-23.67836404,-46.43181385
198566,308,03º D.P. GUARULHOS            ,Roubo,2,-23.45351358,-46.71571479
278658,316,03º D.P. MAUA                 ,Crimes envolvendo drogas,2,-23.65403399,-46.43275601
46772,161889,DELEGACIA ELETRONICA          ,Roubo,2,-23.41634406,-46.49713474
629788,4576,POLICIA MILITAR               ,Furto,2,-23.49100224,-46.43951206
650484,329928,DELEGACIA ELETRONICA          ,Furto,2,-23.53685202,-46.62227078
550774,249945,DELEGACIA ELETRONICA          ,Roubo,2,-23.72380019,-46.68809947
286777,1236,27º D.P.  IBIRAPUERA          ,Roubo,2,-23.56356455,-46.70367629
623150,782,DEL.POL.FERRAZ DE VASCONCELOS ,Roubo,2,-23.54057107,-46.38102282
410312,1585,13º D.P. CASA VERDE           ,Furto,2,-23.57579623,-46.68766198
38688,728,DEL.POL.COTIA                 ,Lesão corporal,2,-23.61921644,-46.94022886
319494,458,DEL.POL.ITAPECERICA DA SERRA  ,Lesão corporal,2,-23.706442199999998,-46.85640774
16542,152814,DELEGACIA ELETRONICA          ,Roubo,2,-23.67729557,-46.74965662
435792,435,02º D.P. DIADEMA              ,Roubo,2,-23.70982205,-46.59727902
514293,209195,DELEGACIA ELETRONICA          ,Roubo,2,-23.56459045,-46.53328187
385687,219023,DELEGACIA ELETRONICA          ,Furto,2,-23.57521927,-46.67086209
268550,222,02º D.P. S.CAETANO DO SUL     ,Lesão corporal,2,-23.61016285,-46.549940299999996
574430,701371,DELEGACIA ELETRONICA          ,Furto,2,-23.52979802,-46.77710366
127525,237163,DELEGACIA ELETRONICA          ,Furto,2,-23.65594749,-46.71948709
119575,164456,DELEGACIA ELETRONICA          ,Furto,2,-23.58405806,-46.63648277
143998,327,DEL.DEF.MUL. OSASCO           ,Lesão corporal,2,-23.56450983,-46.78404182
10076,1015,41º D.P.  VILA RICA           ,Furto,2,-23.56786164,-46.51007882
71648,258871,DELEGACIA ELETRONICA          ,Furto,2,-23.5321855,-46.66209801
167433,426,15º D.P. DR. LUC. H BEIGUELMAN,Furto,2,-23.56245727,-46.67520063
694080,424,45º D.P.  V BRASILANDIA       ,Roubo,2,-23.469839899999997,-46.70144861
643521,1007,01º D.P. GUARULHOS            ,Roubo,2,-23.46489321,-46.54391077
195368,272400,DELEGACIA ELETRONICA          ,Roubo,2,-23.67854572,-46.50822628
174734,253511,DELEGACIA ELETRONICA          ,Furto,2,-23.67579383,-46.61416639
138695,792,DEL.POL.ITAPECERICA DA SERRA  ,Lesão corporal,2,-23.70960135,-46.86027235
61698,694,32º D.P.  ITAQUERA            ,Roubo,2,-23.52170322,-46.42535499
163022,183657,DELEGACIA ELETRONICA          ,Furto,2,-23.53904526,-46.568313
145079,292,06º D.P. OSASCO               ,Furto,2,-23.5070528,-46.70803727
604520,518,65º D.P. ARTUR ALVIM          ,Furto,2,-23.55454757,-46.47685013
44243,281897,DELEGACIA ELETRONICA          ,Roubo,2,-23.56641252,-46.51160514
761613,264,05º D.P. S.BERNARDO DO CAMPO  ,Roubo,2,-23.67494083,-46.59396892
444016,165,18º D.P.  ALTO DA MOOCA       ,Furto,2,-23.55428752,-46.61305596
413830,1905,20º D.P.  AGUA FRIA           ,Lesão envolvendo veículos,2,-23.46150249,-46.60279528
633911,220324,DELEGACIA ELETRONICA          ,Furto,2,-23.56929586,-46.71533228
20558,231664,DELEGACIA ELETRONICA          ,Furto,2,-23.66786018,-46.73225715
533800,1167,47º D.P.  CAPAO REDONDO       ,Crime sexual,2,-23.70692643,-46.79159023
728598,153114,DELEGACIA ELETRONICA          ,Furto,2,-23.54690763,-46.65028979
294635,237199,DELEGACIA ELETRONICA          ,Roubo,2,-23.54102306,-46.55905821
705081,716,100º D.P. JDIM HERCULANO      ,Furto,2,-23.71707614,-46.76561165
323800,466,87º D.P. V. P. BARRETO        ,Roubo,2,-23.46821363,-46.71679277
179313,270531,DELEGACIA ELETRONICA          ,Furto,2,-23.54967832,-46.63391734
668747,1993,01º D.P. CARAPICUIBA          ,Furto,2,-23.54388455,-46.83339038
109158,28,DEL.POL.NOVAIS                ,Lesão corporal,2,-23.48648203,-46.31482689
624021,320,09º D.P. OSASCO               ,Furto,2,-23.5291574,-46.79723489
731374,1162,10º D.P. PENHA DE FRANCA      ,Lesão corporal,2,-23.50843546,-46.54210669
359212,1592,73º D.P. JACANA               ,Furto,2,-23.4788018,-46.56289988
194015,6597,POLICIA MILITAR               ,Furto,2,-23.72966101,-46.68927938
761139,208391,DELEGACIA ELETRONICA          ,Furto,2,-23.51862675,-46.67881414
690792,1108,33º D.P.  PIRITUBA            ,Furto,2,-23.48420412,-46.74310353
508138,1815,11º D.P. SANTO AMARO          ,Furto,2,-23.60256879,-46.66668939
176428,214555,DELEGACIA ELETRONICA          ,Roubo,2,-23.59398061,-46.42130488
162653,398097,DELEGACIA ELETRONICA          ,Roubo,3,-23.65025416,-46.53907025
580780,445,102º D.P. SOCORRO             ,Furto,3,-23.70495351,-46.7138732
738210,358980,DELEGACIA ELETRONICA          ,Roubo,3,-23.65770612,-46.76093853
34302,283379,DELEGACIA ELETRONICA          ,Furto,3,-23.66924959,-46.46051029
220934,273759,DELEGACIA ELETRONICA          ,Furto,3,-23.58054283,-46.63843954
379458,294698,DELEGACIA ELETRONICA          ,Roubo,3,-23.64471384,-46.72372245
448134,1841,98º D.P. JARDIM MIRIAM        ,Lesão corporal,3,-23.70920552,-46.65491651
272988,404758,DELEGACIA ELETRONICA          ,Furto,3,-23.69020269,-46.62297065
334307,312997,DELEGACIA ELETRONICA          ,Roubo,3,-23.59275229,-46.80744186
463411,1555,DEL.POL.SUZANO                ,Furto,3,-23.55185996,-46.29276803
643038,550,01º D.P. ITAQUAQUECETUBA      ,Crimes envolvendo drogas,3,-23.43485316,-46.30302676
492789,1453,DEL.POL.RIBEIRAO PIRES        ,Lesão corporal,3,-23.68825242,-46.39830391
535686,1271,DEL.POL.EMBU-GUAÇU            ,Lesão envolvendo veículos,3,-23.93599857,-46.89657737
752333,2388,DEL.POL.ITAQUAQUECETUBA       ,Roubo,3,-23.48099745,-46.35279953
533666,338093,DELEGACIA ELETRONICA          ,Roubo,3,-23.70365679,-46.70098939
